display_name,n_conjugates,applications,kinds,aliases,sources
Cytokeratin 7,2,imaging|suspension,antibody,Cytokeratin7/CK7,pdv2|store
DR3,1,suspension,antibody,,pdv2|store
E-Cadherin,6,imaging|suspension,antibody,CD324; CD324/E-Cadherin; CDH1; E-cad,curated|pdv2|store|store:cd|store:part
EGFR,4,imaging|suspension,antibody,,pdv2|store
Estrogen receptor α,1,suspension,antibody,Estrogen Receptor a,pdv2|store
F4/80,9,imaging|suspension,antibody,ADGRE1; EMR1,curated|store
FAP,1,imaging,antibody,,pdv2|store
FceR1a,1,suspension,antibody,,store
FceRI,1,suspension,antibody,,pdv2|store
Fibronectin,9,imaging,antibody,,pdv2|store
FITC,3,suspension,secondary,,pdv2|store
FoxP3,9,imaging|suspension,antibody,FOXP3; Foxp3,curated|pdv2|store
Galectin-9,1,suspension,antibody,,pdv2|store
GATA3,5,imaging|suspension,antibody,Gata3,pdv2|store
Gata6,1,suspension,antibody,,pdv2|store
GFAP,3,imaging|suspension,antibody,Glial Fibrillary Acidic Protein/GFAP,pdv2|store
Glut-1,1,imaging,antibody,,pdv2|store
GM-CSF,1,suspension,antibody,,pdv2|store
Goat Anti-Mouse IgG,1,suspension,secondary,,store
Goat Anti-Rabbit IgG,1,suspension,secondary,,store
Goat Anti-Rat IgG,1,suspension,secondary,,store
Gr-1 / Ly-6G/C,2,suspension,antibody,Gr-1; Ly-6G/Ly-6C,curated|store
Granzyme B,12,imaging|suspension,antibody,GZMB; GzmB,curated|pdv2|store
GSK3 β,1,imaging,antibody,GSK3 beta,pdv2|store
HER2/ErbB2,2,suspension,antibody,ErbB2; HER2; HER2/ErbB2/EGFR2,pdv2|store|store:part
Histone 3,1,suspension,antibody,Histone3,pdv2|store
Histone H3,4,imaging,antibody,,pdv2|store
"HLA-A,B,C",3,imaging|suspension,antibody,HLA-ABC,pdv2|store
HLA-DR,9,imaging|suspension,antibody,,pdv2|store
"HLA-DR, DP",1,suspension,antibody,,pdv2|store
I-Ad,1,suspension,antibody,,store
Iba1,2,imaging,antibody,,pdv2|store
IDO,2,imaging,antibody,,pdv2|store
IFNγ,5,suspension,antibody,IFN gamma; IFN-gamma; IFN-γ; IFNg,curated|pdv2|store
IgD,3,suspension,antibody,,pdv2|store
IgGκ,1,suspension,antibody,Ig kappa,pdv2|store
IgGλ,1,suspension,antibody,Ig lambda,pdv2|store
IgM,3,imaging|suspension,antibody,,pdv2|store
IKZF1/Ikaros,1,suspension,antibody,Ikaros; IKZF1; IKZF1/IKAROS,pdv2|store|store:part
IL-10,4,suspension,antibody,,pdv2|store
IL-13,1,suspension,antibody,,pdv2|store
IL-17A,8,suspension,antibody,,pdv2|store
IL-17F,3,suspension,antibody,,pdv2|store
IL-1β,1,suspension,antibody,IL-1b,pdv2|store
IL-2,5,suspension,antibody,,pdv2|store
IL-21,1,suspension,antibody,,pdv2|store
IL-22,1,suspension,antibody,,pdv2|store
IL-23 p19,1,suspension,antibody,,pdv2|store
IL-4,5,suspension,antibody,,pdv2|store
IL-5,3,suspension,antibody,,pdv2|store
IL-6,5,suspension,antibody,,pdv2|store
iNOS,7,imaging|suspension,antibody,,pdv2|store
Integrin a9b1,1,suspension,antibody,,pdv2|store
Integrin β7,1,suspension,antibody,Integrin b7,pdv2|store
Invariant NKT,1,suspension,antibody,TCR Va24-Ja18,pdv2|store
IRF4,1,suspension,antibody,,store
Iκβα,1,suspension,antibody,IkBa,pdv2|store
Keratin 8/18,2,imaging|suspension,antibody,Keratin (CK8/18),pdv2|store
Ki-67,9,imaging|suspension,antibody,Ki67; MKI67,curated|pdv2|store
KLF4,1,suspension,antibody,,pdv2|store
LAP/TGFβ,2,suspension,antibody,LAP; TGF-Beta1/LAP; TGF-β1; TGF-β1/LAP; TGFβ,pdv2|store|store:part
Lck,1,suspension,antibody,LCK,pdv2|store
LDHA,1,imaging,antibody,,pdv2|store
LGR5,1,suspension,antibody,Lgr5/Central LRR,pdv2|store
Ly-6C,3,suspension,antibody,,store
Ly-6G,8,imaging|suspension,antibody,,store
Mac-2/Galectin-3,1,suspension,antibody,Galectin-3; Mac-2,pdv2|store|store:part
MAP2,2,imaging,antibody,,pdv2|store
MBP,5,imaging,antibody,,pdv2|store
MCL-1,1,suspension,antibody,,pdv2|store
Met,2,imaging|suspension,antibody,,pdv2|store
MHC Class I,1,suspension,antibody,,store
MHC Class II,10,imaging|suspension,antibody,MHC class II,pdv2|store
MIC A/B,1,suspension,antibody,MICA/MICB,pdv2|store
MIP1β,2,suspension,antibody,MIP1beta,pdv2|store
MMP9,1,imaging,antibody,,pdv2|store
MOG,3,imaging,antibody,,pdv2|store
Mouse/Rat Foxp3,1,suspension,antibody,Mouse; Rat Foxp3,store|store:part
MPO,1,imaging,antibody,,pdv2|store
Musashi-1,1,suspension,antibody,Musashi-1/MSI1,pdv2|store
Nanog,1,suspension,antibody,,pdv2|store
Nestin,2,imaging|suspension,antibody,,pdv2|store
NeuN,3,imaging,antibody,,pdv2|store
Neurofilament,3,imaging,antibody,,pdv2|store
NK1.1,2,suspension,antibody,,store
NKB1,1,suspension,antibody,CD158e1/KIR3DL1/NKB1,pdv2|store
Notch2,1,suspension,antibody,,pdv2|store
Notch3,1,suspension,antibody,,pdv2|store
Oct3/4,1,suspension,antibody,Oct-3/4,pdv2|store
Olig2,2,imaging,antibody,,pdv2|store
p-αSyn [S129],3,imaging,antibody,p-AlphaSyn [S129],pdv2|store
p21 Waf1/Cip1,1,suspension,antibody,Cip1; p21 Waf1,pdv2|store|store:part
P2RY12,3,imaging,antibody,,pdv2|store
p38 [T180/Y182],1,suspension,antibody,p-p38 [T180/Y182],pdv2|store
p4E-BP1 [T37/T46],3,imaging|suspension,antibody,p4E-BP1; Phospho-4EBP1,pdv2|store
p53,3,imaging|suspension,antibody,,pdv2|store
pAkt [S473],1,suspension,antibody,,pdv2|store
Pan-Actin,2,imaging|suspension,antibody,,pdv2|store
Pan-Cytokeratin,11,imaging|suspension,antibody,Cytokeratin; Pan-CK; Pan-CytoKeratin; pan-cytokeratin; Pan-Keratin; PanCK,curated|pdv2|store
pBad [S112],1,suspension,antibody,pBad,pdv2|store
pCREB,3,imaging|suspension,antibody,pCREB [S133]; Phospho-CREB [Ser133],pdv2|store
PDGFRα,1,suspension,antibody,PDGFRa,pdv2|store
PE,3,suspension,secondary,,pdv2|store
pEGFR [Y1068],1,suspension,antibody,,pdv2|store
Perforin,4,imaging|suspension,antibody,,pdv2|store
pERK1/2 [T202/Y204],7,imaging|suspension,antibody,pERK 1/2 [T202/Y204],pdv2|store
pH2AX [S139],1,imaging,antibody,,pdv2|store
pHistone H2A.X [S139],1,suspension,antibody,pHistone H2A.X [Ser139],pdv2|store
pHistone H3 [S28],1,suspension,antibody,,pdv2|store
pHistone H3 [Ser28],1,imaging,antibody,,pdv2|store
pLck [T505],1,suspension,antibody,,pdv2|store
pMAPKAPK2 [T334],1,suspension,antibody,,pdv2|store
pNFkBp65 [S529],2,imaging|suspension,antibody,p-NF-kBp65; pNF-kB p65 [S529]; pNFκBp65 [S529],pdv2|store
Podoplanin,1,imaging,antibody,,pdv2|store
pPLCγ2 [Y759],2,suspension,antibody,pPLCg2 [pY759],pdv2|store
pRb [S807/S811],2,suspension,antibody,pRb [S807/811],pdv2|store
Progesterone Receptor,1,suspension,antibody,Progesterone Receptor A/B,pdv2|store
pS6 [S235/S236],4,imaging|suspension,antibody,,pdv2|store
